CODUSU;ANO4;TRIMESTRE;NRO_HOGAR;REALIZADA;REGION;MAS_500;AGLOMERADO;PONDERA;IV1;IV1_ESP;IV2;IV3;IV3_ESP;IV4;IV5;IV6;IV7;IV7_ESP;IV8;IV9;IV10;IV11;IV12_1;IV12_2;IV12_3;II1;II2;II3;II3_1;II4_1;II4_2;II4_3;II5;II5_1;II6;II6_1;II7;II7_ESP;II8;II8_ESP;II9;V1;V2;V21;V22;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19_A;V19_B;IX_TOT;IX_MEN10;IX_MAYEQ10;ITF;DECIFR;IDECIFR;RDECIFR;GDECIFR;PDECIFR;ADECIFR;IPCF;DECCFR;IDECCFR;RDECCFR;GDECCFR;PDECCFR;ADECCFR;PONDIH;VII1_1;VII1_2;VII2_1;VII2_2;VII2_3;VII2_4;TIPO_HOGAR;MATERIAL_TECHUMBRE;DENSIDAD_HOGAR
TQRMNOPYSHKMLQCDEGGFB00867033;2024;3;1;1;42;S;10;619;1;;5;2;;1;2;1;1;;1;1;1;1;2;2;2;5;3;2;0;1;1;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;4;0;4;2900000;10;10;10;10;;10;725000;9;9;9;8;;9;1009;1;2;3;4;0;0;Nuclear;Material durable;Bajo
TQRMNOUQYHLNLSCDEGGFB00804564;2024;3;1;1;42;S;10;962;1;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;2;2;3900000;10;10;10;10;;10;975000;9;10;10;9;;10;1452;2;0;96;0;0;0;Nuclear;Material durable;Bajo
TQSMNOSPQHLNLUCDEGGFB00804539;2024;3;1;1;42;S;10;302;2;;2;1;;1;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;3;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;1;0;0;0;Nuclear;Material durable;Bajo
TQRMNOPXSHLNMMCDEGGFB00804540;2024;3;1;1;42;S;10;419;1;;5;1;;3;1;1;1;;1;1;1;1;2;2;2;5;2;1;1;1;2;1;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;2;2;3;0;3;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;2;3;0;0;0;Nuclear;Material durable;Bajo
TQRMNORVXHLNMMCDEGGFB00809659;2024;3;1;1;42;S;10;497;2;;2;1;;1;2;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;2;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;1;0;2;0;0;0;Nuclear;Material durable;Bajo
TQRMNOPVQHKOMPCDEFKID00867085;2024;3;1;1;43;S;4;616;1;;2;1;;9;1;1;1;;1;1;1;1;2;2;2;2;1;2;0;1;2;2;2;0;2;0;2;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;1;2;2;2;2;2;0;2;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;1;98;0;0;0;Nuclear;Material durable;Bajo
TQRMNOQTVHLOMNCDEFKID00803741;2024;3;1;1;43;S;4;582;2;;3;1;;9;1;1;1;;1;1;1;1;2;2;2;3;1;2;0;1;1;2;2;0;2;0;1;;1;;1;2;1;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;2;0;2;770000;4;5;5;4;;4;385000;6;6;5;6;;5;892;1;0;2;0;0;0;Nuclear;Material durable;Bajo
TQRMNOPRTHMOMOCDEFKID00808832;2024;3;1;1;43;S;4;1175;1;;4;1;;1;1;1;2;;1;1;1;2;2;2;2;4;2;2;0;1;1;2;2;0;2;0;1;;1;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;5;2;3;2500000;10;10;10;10;;10;500000;7;8;7;7;;6;1930;2;0;1;3;0;0;Extendido;Material durable;Bajo
TQRMNOTPRHMOMOCDEFKID00808827;2024;3;1;1;43;S;4;990;1;;3;1;;2;1;1;2;;1;1;1;2;2;2;2;3;3;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;2;2;2;2;1;1;2;2;2;2;4;0;4;0;12;12;12;12;;12;0;12;12;12;12;;12;0;2;0;3;0;0;0;Nuclear;Material durable;Bajo
TQRMNOTSXHJMMNCDEFKID00866032;2024;3;1;1;43;S;4;915;1;;2;1;;5;1;1;1;;1;1;1;1;2;2;2;2;2;2;0;1;2;1;2;0;2;0;1;;2;;1;1;2;2;2;2;2;2;2;2;2;2;2;1;2;2;2;2;1;2;2;2;2;4;0;4;816000;5;5;5;5;;4;204000;3;3;3;3;;2;1154;1;2;98;0;0;0;Nuclear;Material durable;Bajo
